"id","condition","audiofile","age","ease","edu","imphear","interest","L1","notes","prep","self","test","question","answer","score","precede"
736340,"sil_cg","engl310_01_synth_sil.wav",33,2,"hs","no",3,"eng","no",3,"adv","none","q1",1,1,"no"
736340,"sil_cg","engl310_24_synth_sil.wav",33,2,"hs","no",3,"eng","no",3,"adv","none","q1",3,1,"yes"
736340,"sil_cg","engl310_07_synth_sil.wav",33,2,"hs","no",3,"eng","no",3,"adv","none","q1",4,1,"no"
736340,"sil_cg","engl310_13_synth_sil.wav",33,2,"hs","no",3,"eng","no",3,"adv","none","q1",3,0,"yes"
736341,"base","engl310_07_synth_base.wav",24,1,"other","no",1,"eng","no",2,"int","c1","q1",4,1,"no"
736341,"base","engl310_13_synth_base.wav",24,1,"other","no",1,"eng","no",2,"int","c1","q1",2,0,"yes"
736341,"base","engl310_01_synth_base.wav",24,1,"other","no",1,"eng","no",2,"int","c1","q1",1,1,"no"
736341,"base","engl310_24_synth_base.wav",24,1,"other","no",1,"eng","no",2,"int","c1","q1",1,0,"yes"
736344,"sil","engl310_07_synth_sil.wav",36,4,"uni","no",2,"eng","no",4,"adv","none","q1",2,0,"no"
736344,"sil","engl310_01_synth_sil.wav",36,4,"uni","no",2,"eng","no",4,"adv","none","q1",1,1,"no"
736344,"sil","engl310_24_synth_sil.wav",36,4,"uni","no",2,"eng","no",4,"adv","none","q1",1,0,"yes"
736344,"sil","engl310_13_synth_sil.wav",36,4,"uni","no",2,"eng","no",4,"adv","none","q1",2,0,"yes"
736349,"sil_cg","engl310_01_synth_sil.wav",25,4,"uni","no",2,"eng","no",2,"adv","none","q1",1,1,"no"
736349,"sil_cg","engl310_13_synth_sil.wav",25,4,"uni","no",2,"eng","no",2,"adv","none","q1",1,1,"yes"
736349,"sil_cg","engl310_07_synth_sil.wav",25,4,"uni","no",2,"eng","no",2,"adv","none","q1",4,1,"no"
736349,"sil_cg","engl310_24_synth_sil.wav",25,4,"uni","no",2,"eng","no",2,"adv","none","q1",3,1,"yes"
736350,"sil","engl310_01_synth_sil.wav",37,3,"uni","no",3,"eng","no",3,"adv","none","q1",1,1,"no"
736350,"sil","engl310_24_synth_sil.wav",37,3,"uni","no",3,"eng","no",3,"adv","none","q1",3,1,"yes"
736350,"sil","engl310_07_synth_sil.wav",37,3,"uni","no",3,"eng","no",3,"adv","none","q1",1,0,"no"
736350,"sil","engl310_13_synth_sil.wav",37,3,"uni","no",3,"eng","no",3,"adv","none","q1",2,0,"yes"
736353,"base","engl310_13_synth_base.wav",28,2,"hs","no",1,"eng","no",1,"adv","none","q1",2,0,"yes"
736353,"base","engl310_24_synth_base.wav",28,2,"hs","no",1,"eng","no",1,"adv","none","q1",1,0,"yes"
736353,"base","engl310_07_synth_base.wav",28,2,"hs","no",1,"eng","no",1,"adv","none","q1",4,1,"no"
736353,"base","engl310_01_synth_base.wav",28,2,"hs","no",1,"eng","no",1,"adv","none","q1",1,1,"no"
736356,"base_cg","engl310_24_synth_base.wav",48,2,"uni","no",3,"eng","no",1,"adv","none","q1",1,0,"yes"
736356,"base_cg","engl310_07_synth_base.wav",48,2,"uni","no",3,"eng","no",1,"adv","none","q1",4,1,"no"
736356,"base_cg","engl310_13_synth_base.wav",48,2,"uni","no",3,"eng","no",1,"adv","none","q1",2,0,"yes"
736356,"base_cg","engl310_01_synth_base.wav",48,2,"uni","no",3,"eng","no",1,"adv","none","q1",1,1,"no"
