"file","segment","start","end","dur","filedur","mean_intensity","condition"
"engl310_01_original","sil",0.002,0.182,0.181,169.26,48.05,"orig"
"engl310_01_original","cl",0.182,0.268,0.085,169.26,48.042,"orig"
"engl310_01_original","in",0.268,0.711,0.444,169.26,54.037,"orig"
"engl310_01_original","sil",0.711,0.765,0.054,169.26,48.518,"orig"
"engl310_01_original","sil",2.816,3.093,0.277,169.26,45.569,"orig"
"engl310_01_original","sil",3.351,3.759,0.408,169.26,47.191,"orig"
"engl310_01_original","sil",5.008,5.09,0.082,169.26,44.947,"orig"
"engl310_01_original","in",5.09,5.348,0.257,169.26,57.234,"orig"
"engl310_01_original","sil",5.348,5.403,0.055,169.26,61.103,"orig"
"engl310_01_original","sil",5.54,5.577,0.037,169.26,58.599,"orig"
"engl310_01_original","in",5.577,5.692,0.115,169.26,52.129,"orig"
"engl310_01_original","sil",5.692,5.732,0.04,169.26,46.898,"orig"
"engl310_01_original","sil",8.042,8.112,0.069,169.26,45.638,"orig"
"engl310_01_original","in",8.112,8.35,0.239,169.26,57.582,"orig"
"engl310_01_original","sil",8.35,8.375,0.025,169.26,49.721,"orig"
"engl310_01_original","uh",8.375,8.559,0.184,169.26,82.874,"orig"
"engl310_01_original","sil",8.559,8.593,0.034,169.26,56.452,"orig"
"engl310_01_original","in",8.593,8.706,0.113,169.26,55.545,"orig"
"engl310_01_original","sil",8.706,8.743,0.037,169.26,47.278,"orig"
"engl310_01_original","sil",10.706,10.829,0.123,169.26,48.243,"orig"
"engl310_01_original","in",10.829,11.033,0.204,169.26,55.174,"orig"
"engl310_01_original","sil",11.033,11.078,0.045,169.26,46.028,"orig"
"engl310_01_original","sil",11.365,11.413,0.048,169.26,58.094,"orig"
"engl310_01_original","in",11.413,11.609,0.195,169.26,55.631,"orig"
"engl310_01_original","o",11.609,11.717,0.108,169.26,55.357,"orig"
"engl310_01_original","uh",11.717,11.974,0.257,169.26,85.581,"orig"
"engl310_01_original","sil",11.974,12.004,0.03,169.26,55.538,"orig"
"engl310_01_original","in",12.004,12.13,0.126,169.26,55.89,"orig"
"engl310_01_original","sil",12.13,12.182,0.051,169.26,47.418,"orig"
"engl310_01_original","sil",13.355,13.535,0.18,169.26,47.848,"orig"
"engl310_01_original","sil",14.886,15.153,0.266,169.26,45.299,"orig"
"engl310_01_original","sil",15.803,15.864,0.061,169.26,54.362,"orig"
"engl310_01_original","in",15.864,16.066,0.202,169.26,59.345,"orig"
"engl310_01_original","sil",16.066,16.092,0.026,169.26,54.079,"orig"
"engl310_01_original","sil",17.942,18.013,0.071,169.26,44.742,"orig"
"engl310_01_original","in",18.013,18.277,0.264,169.26,58.421,"orig"
"engl310_01_original","sil",18.277,18.308,0.031,169.26,51.913,"orig"
"engl310_01_original","sil",21.049,21.059,0.01,169.26,55.108,"orig"
"engl310_01_original","in",21.059,21.287,0.229,169.26,55.435,"orig"
"engl310_01_original","sil",21.287,21.365,0.077,169.26,58.864,"orig"
"engl310_01_original","sil",22.617,22.643,0.026,169.26,55.597,"orig"
"engl310_01_original","in",22.643,22.791,0.148,169.26,53.259,"orig"
"engl310_01_original","sil",22.791,22.84,0.048,169.26,44.975,"orig"
"engl310_01_original","sil",25.952,26.036,0.083,169.26,49.81,"orig"
"engl310_01_original","in",26.036,26.338,0.302,169.26,60.995,"orig"
"engl310_01_original","cl",26.338,26.392,0.054,169.26,61.932,"orig"
"engl310_01_original","uh",26.392,26.6,0.208,169.26,82.595,"orig"
"engl310_01_original","sil",26.6,26.626,0.025,169.26,55.749,"orig"
"engl310_01_original","in",26.626,26.74,0.114,169.26,55.109,"orig"
"engl310_01_original","sil",26.74,26.794,0.054,169.26,46.673,"orig"
"engl310_01_original","sil",29.955,30.484,0.529,169.26,58.456,"orig"
"engl310_01_original","cl",30.484,30.583,0.099,169.26,48.554,"orig"
"engl310_01_original","in",30.583,31.035,0.452,169.26,59.044,"orig"
"engl310_01_original","sil",31.035,31.099,0.065,169.26,48.003,"orig"
"engl310_01_original","sil",33.319,33.366,0.047,169.26,57.363,"orig"
"engl310_01_original","in",33.366,33.558,0.193,169.26,54.56,"orig"
"engl310_01_original","o",33.558,33.637,0.079,169.26,60.833,"orig"
"engl310_01_original","uh",33.637,33.839,0.202,169.26,85.14,"orig"
"engl310_01_original","in",34.444,34.616,0.172,169.26,52.266,"orig"
"engl310_01_original","sil",34.616,34.706,0.09,169.26,45.25,"orig"
"engl310_01_original","sil",35.404,35.463,0.06,169.26,55.603,"orig"
"engl310_01_original","in",35.463,35.669,0.205,169.26,50.836,"orig"
"engl310_01_original","sil",35.669,35.7,0.031,169.26,51.384,"orig"
"engl310_01_original","o",35.7,35.77,0.07,169.26,61.313,"orig"
"engl310_01_original","uh",35.77,36.02,0.25,169.26,79.514,"orig"
"engl310_01_original","in",36.02,36.218,0.199,169.26,48.83,"orig"
"engl310_01_original","sil",36.218,36.296,0.078,169.26,42.769,"orig"
"engl310_01_original","sil",37.01,37.411,0.401,169.26,48.372,"orig"
"engl310_01_original","sil",38.262,38.794,0.532,169.26,49.176,"orig"
"engl310_01_original","cl",38.794,38.895,0.1,169.26,64.675,"orig"
"engl310_01_original","in",38.895,39.046,0.151,169.26,62.902,"orig"
"engl310_01_original","sil",39.046,39.071,0.025,169.26,51.044,"orig"
"engl310_01_original","sil",45.22,45.261,0.041,169.26,43.781,"orig"
"engl310_01_original","in",45.261,45.514,0.253,169.26,46.969,"orig"
"engl310_01_original","sil",45.514,45.603,0.089,169.26,40.42,"orig"
"engl310_01_original","sil",46.638,46.722,0.083,169.26,42.363,"orig"
"engl310_01_original","in",46.722,47.051,0.329,169.26,58.048,"orig"
"engl310_01_original","sil",47.051,47.094,0.043,169.26,53.811,"orig"
"engl310_01_original","uh",47.094,47.285,0.191,169.26,79.997,"orig"
"engl310_01_original","sil",47.285,47.317,0.032,169.26,48.785,"orig"
"engl310_01_original","in",47.317,47.452,0.136,169.26,53.29,"orig"
"engl310_01_original","sil",47.452,47.61,0.158,169.26,46.716,"orig"
"engl310_01_original","o",50.667,50.725,0.058,169.26,63.363,"orig"
"engl310_01_original","uh",50.725,50.914,0.189,169.26,82.69,"orig"
"engl310_01_original","sil",50.914,50.959,0.045,169.26,57.876,"orig"
"engl310_01_original","in",50.959,51.158,0.198,169.26,56.648,"orig"
"engl310_01_original","sil",51.158,51.216,0.058,169.26,50.899,"orig"
"engl310_01_original","sil",52.092,52.328,0.236,169.26,51.031,"orig"
"engl310_01_original","sil",52.573,52.809,0.236,169.26,47.004,"orig"
"engl310_01_original","sil",53.968,54.014,0.046,169.26,46.383,"orig"
"engl310_01_original","in",54.014,54.202,0.188,169.26,54.524,"orig"
"engl310_01_original","o",54.202,54.271,0.069,169.26,60.566,"orig"
"engl310_01_original","sil",55.645,55.913,0.267,169.26,48.411,"orig"
"engl310_01_original","sil",56.795,57.169,0.374,169.26,46.458,"orig"
"engl310_01_original","sil",57.777,58.594,0.817,169.26,44.398,"orig"
"engl310_01_original","cl",58.594,58.752,0.158,169.26,61.382,"orig"
"engl310_01_original","sil",60.338,60.38,0.042,169.26,58.528,"orig"
"engl310_01_original","in",60.38,60.596,0.216,169.26,57.365,"orig"
"engl310_01_original","sil",60.596,60.629,0.033,169.26,47.389,"orig"
"engl310_01_original","o",60.629,60.688,0.06,169.26,65.122,"orig"
"engl310_01_original","uh",60.688,60.939,0.25,169.26,86.269,"orig"
"engl310_01_original","o",60.939,60.999,0.06,169.26,60.49,"orig"
"engl310_01_original","sil",60.999,61.167,0.168,169.26,46.166,"orig"
"engl310_01_original","sil",63.167,63.188,0.021,169.26,55.152,"orig"
"engl310_01_original","in",63.188,63.392,0.204,169.26,51.827,"orig"
"engl310_01_original","sil",63.392,63.469,0.077,169.26,42.244,"orig"
"engl310_01_original","sil",64.053,64.09,0.037,169.26,48.237,"orig"
"engl310_01_original","in",64.09,64.367,0.277,169.26,59.283,"orig"
"engl310_01_original","sil",64.367,64.407,0.04,169.26,52.401,"orig"
"engl310_01_original","o",64.407,64.479,0.072,169.26,71.486,"orig"
"engl310_01_original","uh",64.479,64.714,0.236,169.26,86.607,"orig"
"engl310_01_original","sil",64.714,64.764,0.049,169.26,61.142,"orig"
"engl310_01_original","in",64.764,64.968,0.204,169.26,57.524,"orig"
"engl310_01_original","sil",64.968,64.992,0.024,169.26,48.083,"orig"
"engl310_01_original","sil",65.725,65.82,0.095,169.26,52.982,"orig"
"engl310_01_original","o",65.82,65.905,0.085,169.26,67.716,"orig"
"engl310_01_original","uh",65.905,66.176,0.271,169.26,87.789,"orig"
"engl310_01_original","o",66.176,66.311,0.135,169.26,76.862,"orig"
