Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,age,audiofile,Condition_Id,copy_of_factor1_tg1_task3_2585,copy_of_factor1_tg1_task3_75eb,ease,edu,factor1_tg1_task3,imphear,interest,L1,notes,prep,prolific,q1,q2,q3,self,test
736340,1,1,sil_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",5e821290300dd002f968216e,"","","","",""
736340,1,1,sil_cg,1,silence,2,"",engl310_01_synth_sil.wav,1,engl310_01_synth_sil,"","","","","","","","","","",1,1,"","",""
736340,2,4,sil_cg,1,silence,2,"",engl310_24_synth_sil.wav,4,engl310_24_synth_sil,"","","","","","","","","","",3,4,"","",""
736340,3,2,sil_cg,1,silence,2,"",engl310_07_synth_sil.wav,2,engl310_07_synth_sil,"","","","","","","","","","",4,2,"","",""
736340,4,3,sil_cg,1,silence,2,"",engl310_13_synth_sil.wav,3,engl310_13_synth_sil,"","","","","","","","","","",3,4,"","",""
736340,1,1,sil_cg,1,questionnaire,3,33,"",1,"","",2,hs,"",no,3,eng,no,3,"","","","",adv,none
736340,1,1,sil_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736341,1,1,base,1,instructions,1,"","",1,"","","","","","","","","","",63e524d635dab5fd66056736,"","","","",""
736341,1,2,base,1,base,2,"",engl310_07_synth_base.wav,2,"","","","",engl310_07_synth_base,"","","","","","",4,4,"","",""
736341,2,3,base,1,base,2,"",engl310_13_synth_base.wav,3,"","","","",engl310_13_synth_base,"","","","","","",2,4,"","",""
736341,3,1,base,1,base,2,"",engl310_01_synth_base.wav,1,"","","","",engl310_01_synth_base,"","","","","","",1,1,"","",""
736341,4,4,base,1,base,2,"",engl310_24_synth_base.wav,4,"","","","",engl310_24_synth_base,"","","","","","",1,4,"","",""
736341,1,1,base,1,questionnaire,3,24,"",1,"","",1,other,"",no,1,eng,no,2,"","","","",int,c1
736341,1,1,base,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736343,1,1,nopints_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",5fe848f115b59b69cf9b06b6,"","","","",""
736343,1,1,nopints_cg,1,nopints,2,"",engl310_01_synth_noPINTs.wav,1,"",engl310_01_synth_nopints,"","","","","","","","","",1,3,"","",""
736343,2,3,nopints_cg,1,nopints,2,"",engl310_13_synth_noPINTs.wav,3,"",engl310_13_synth_nopints,"","","","","","","","","",1,4,"","",""
736343,3,4,nopints_cg,1,nopints,2,"",engl310_24_synth_noPINTs.wav,4,"",engl310_24_synth_nopints,"","","","","","","","","",3,4,"","",""
736343,4,2,nopints_cg,1,nopints,2,"",engl310_07_synth_noPINTs.wav,2,"",engl310_07_synth_nopints,"","","","","","","","","",4,2,"","",""
736343,1,1,nopints_cg,1,questionnaire,3,67,"",1,"","",1,uni,"",no,4,eng,no,5,"","","","",adv,none
736343,1,1,nopints_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736344,1,1,sil,1,instructions,1,"","",1,"","","","","","","","","","",5e84c792bde837092ec273de,"","","","",""
736344,1,2,sil,1,silence,2,"",engl310_07_synth_sil.wav,2,engl310_07_synth_sil,"","","","","","","","","","",2,1,"","",""
736344,2,1,sil,1,silence,2,"",engl310_01_synth_sil.wav,1,engl310_01_synth_sil,"","","","","","","","","","",1,3,"","",""
736344,3,4,sil,1,silence,2,"",engl310_24_synth_sil.wav,4,engl310_24_synth_sil,"","","","","","","","","","",1,4,"","",""
736344,4,3,sil,1,silence,2,"",engl310_13_synth_sil.wav,3,engl310_13_synth_sil,"","","","","","","","","","",2,4,"","",""
736344,1,1,sil,1,questionnaire,3,36,"",1,"","",4,uni,"",no,2,eng,no,4,"","","","",adv,none
736344,1,1,sil,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736348,1,1,nopints,1,instructions,1,"","",1,"","","","","","","","","","",56a8bccb7f24720006942472,"","","","",""
736348,1,2,nopints,1,nopints,2,"",engl310_07_synth_noPINTs.wav,2,"",engl310_07_synth_nopints,"","","","","","","","","",1,4,"","",""
736348,2,4,nopints,1,nopints,2,"",engl310_24_synth_noPINTs.wav,4,"",engl310_24_synth_nopints,"","","","","","","","","",3,4,"","",""
736348,3,1,nopints,1,nopints,2,"",engl310_01_synth_noPINTs.wav,1,"",engl310_01_synth_nopints,"","","","","","","","","",1,1,"","",""
736348,4,3,nopints,1,nopints,2,"",engl310_13_synth_noPINTs.wav,3,"",engl310_13_synth_nopints,"","","","","","","","","",1,4,"","",""
736348,1,1,nopints,1,questionnaire,3,56,"",1,"","",2,hs,"",no,2,eng,no,1,"","","","",adv,none
736348,1,1,nopints,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736349,1,1,sil_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",5cec0ad6c0e3b400019c2916,"","","","",""
736349,1,1,sil_cg,1,silence,2,"",engl310_01_synth_sil.wav,1,engl310_01_synth_sil,"","","","","","","","","","",1,1,"","",""
736349,2,3,sil_cg,1,silence,2,"",engl310_13_synth_sil.wav,3,engl310_13_synth_sil,"","","","","","","","","","",1,4,"","",""
736349,3,2,sil_cg,1,silence,2,"",engl310_07_synth_sil.wav,2,engl310_07_synth_sil,"","","","","","","","","","",4,4,"","",""
736349,4,4,sil_cg,1,silence,2,"",engl310_24_synth_sil.wav,4,engl310_24_synth_sil,"","","","","","","","","","",3,4,"","",""
736349,1,1,sil_cg,1,questionnaire,3,25,"",1,"","",4,uni,"",no,2,eng,no,2,"","","","",adv,none
736349,1,1,sil_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736350,1,1,sil,1,instructions,1,"","",1,"","","","","","","","","","",5afd96d587fe510001b3c27e,"","","","",""
736350,1,1,sil,1,silence,2,"",engl310_01_synth_sil.wav,1,engl310_01_synth_sil,"","","","","","","","","","",1,3,"","",""
736350,2,4,sil,1,silence,2,"",engl310_24_synth_sil.wav,4,engl310_24_synth_sil,"","","","","","","","","","",3,4,"","",""
736350,3,2,sil,1,silence,2,"",engl310_07_synth_sil.wav,2,engl310_07_synth_sil,"","","","","","","","","","",1,2,"","",""
736350,4,3,sil,1,silence,2,"",engl310_13_synth_sil.wav,3,engl310_13_synth_sil,"","","","","","","","","","",2,4,"","",""
736350,1,1,sil,1,questionnaire,3,37,"",1,"","",3,uni,"",no,3,eng,no,3,"","","","",adv,none
736350,1,1,sil,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736351,1,1,nopints,1,instructions,1,"","",1,"","","","","","","","","","",546878df99b1dac305237,"","","","",""
736351,1,3,nopints,1,nopints,2,"",engl310_13_synth_noPINTs.wav,3,"",engl310_13_synth_nopints,"","","","","","","","","",1,4,"","",""
736351,2,4,nopints,1,nopints,2,"",engl310_24_synth_noPINTs.wav,4,"",engl310_24_synth_nopints,"","","","","","","","","",4,4,"","",""
736351,3,1,nopints,1,nopints,2,"",engl310_01_synth_noPINTs.wav,1,"",engl310_01_synth_nopints,"","","","","","","","","",1,3,"","",""
736351,4,2,nopints,1,nopints,2,"",engl310_07_synth_noPINTs.wav,2,"",engl310_07_synth_nopints,"","","","","","","","","",4,2,"","",""
736351,1,1,nopints,1,questionnaire,3,56,"",1,"","",1,hs,"",no,4,eng,no,3,"","","","",adv,none
736351,1,1,nopints,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736353,1,1,base,1,instructions,1,"","",1,"","","","","","","","","","",56462fb1d01e6b0006727cbe,"","","","",""
736353,1,3,base,1,base,2,"",engl310_13_synth_base.wav,3,"","","","",engl310_13_synth_base,"","","","","","",2,4,"","",""
736353,2,4,base,1,base,2,"",engl310_24_synth_base.wav,4,"","","","",engl310_24_synth_base,"","","","","","",1,3,"","",""
736353,3,2,base,1,base,2,"",engl310_07_synth_base.wav,2,"","","","",engl310_07_synth_base,"","","","","","",4,4,"","",""
736353,4,1,base,1,base,2,"",engl310_01_synth_base.wav,1,"","","","",engl310_01_synth_base,"","","","","","",1,1,"","",""
736353,1,1,base,1,questionnaire,3,28,"",1,"","",2,hs,"",no,1,eng,no,1,"","","","",adv,none
736353,1,1,base,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736355,1,1,nopints_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",5d28c6e339e2c7001a40eedd,"","","","",""
736355,1,1,nopints_cg,1,nopints,2,"",engl310_01_synth_noPINTs.wav,1,"",engl310_01_synth_nopints,"","","","","","","","","",1,1,"","",""
736355,2,4,nopints_cg,1,nopints,2,"",engl310_24_synth_noPINTs.wav,4,"",engl310_24_synth_nopints,"","","","","","","","","",1,4,"","",""
736355,3,2,nopints_cg,1,nopints,2,"",engl310_07_synth_noPINTs.wav,2,"",engl310_07_synth_nopints,"","","","","","","","","",4,2,"","",""
736355,4,3,nopints_cg,1,nopints,2,"",engl310_13_synth_noPINTs.wav,3,"",engl310_13_synth_nopints,"","","","","","","","","",2,4,"","",""
736355,1,1,nopints_cg,1,questionnaire,3,66,"",1,"","",2,hs,"",no,4,eng,no,4,"","","","",adv,none
736355,1,1,nopints_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736356,1,1,base_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",611020d5c23bd55ba7e60dc8,"","","","",""
736356,1,4,base_cg,1,base,2,"",engl310_24_synth_base.wav,4,"","","","",engl310_24_synth_base,"","","","","","",1,1,"","",""
736356,2,2,base_cg,1,base,2,"",engl310_07_synth_base.wav,2,"","","","",engl310_07_synth_base,"","","","","","",4,4,"","",""
736356,3,3,base_cg,1,base,2,"",engl310_13_synth_base.wav,3,"","","","",engl310_13_synth_base,"","","","","","",2,4,"","",""
736356,4,1,base_cg,1,base,2,"",engl310_01_synth_base.wav,1,"","","","",engl310_01_synth_base,"","","","","","",1,3,"","",""
736356,1,1,base_cg,1,questionnaire,3,48,"",1,"","",2,uni,"",no,3,eng,no,1,"","","","",adv,none
736356,1,1,base_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736357,1,1,base,1,instructions,1,"","",1,"","","","","","","","","","",60bbca0b760a60569cbfaa75,"","","","",""
736357,1,3,base,1,base,2,"",engl310_13_synth_base.wav,3,"","","","",engl310_13_synth_base,"","","","","","",1,4,"","",""
736357,2,4,base,1,base,2,"",engl310_24_synth_base.wav,4,"","","","",engl310_24_synth_base,"","","","","","",3,4,"","",""
736357,3,1,base,1,base,2,"",engl310_01_synth_base.wav,1,"","","","",engl310_01_synth_base,"","","","","","",1,1,"","",""
736357,4,2,base,1,base,2,"",engl310_07_synth_base.wav,2,"","","","",engl310_07_synth_base,"","","","","","",4,2,"","",""
736357,1,1,base,1,questionnaire,3,20,"",1,"","",3,hs,"",no,4,eng,no,2,"","","","",int,none
736357,1,1,base,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
