file, segment, start, end, dur, filedur, mean_intensity
engl310_01_original,np,0,0.002,0.002,169.260,56.966,
engl310_01_original,pau,0.002,0.182,0.181,169.260,48.050,
engl310_01_original,cl,0.182,0.268,0.085,169.260,48.042,
engl310_01_original,in,0.268,0.711,0.444,169.260,54.037,
engl310_01_original,pau,0.711,0.765,0.054,169.260,48.518,
engl310_01_original,np,0.765,2.816,2.051,169.260,82.958,
engl310_01_original,pau,2.816,3.093,0.277,169.260,45.569,
engl310_01_original,np,3.093,3.351,0.259,169.260,79.404,
engl310_01_original,pau,3.351,3.759,0.408,169.260,47.191,
engl310_01_original,np,3.759,5.008,1.249,169.260,82.469,
engl310_01_original,pau,5.008,5.090,0.082,169.260,44.947,
engl310_01_original,in,5.090,5.348,0.257,169.260,57.234,
engl310_01_original,pauuh,5.348,5.403,0.055,169.260,61.103,
engl310_01_original,np,5.403,5.540,0.138,169.260,81.671,
engl310_01_original,pau,5.540,5.577,0.037,169.260,58.599,
engl310_01_original,in,5.577,5.692,0.115,169.260,52.129,
engl310_01_original,pau,5.692,5.732,0.040,169.260,46.898,
engl310_01_original,np,5.732,8.042,2.310,169.260,83.427,
engl310_01_original,pau,8.042,8.112,0.069,169.260,45.638,
engl310_01_original,in,8.112,8.350,0.239,169.260,57.582,
engl310_01_original,pau,8.350,8.375,0.025,169.260,49.721,
engl310_01_original,uh,8.375,8.559,0.184,169.260,82.874,
engl310_01_original,pau,8.559,8.593,0.034,169.260,56.452,
engl310_01_original,in,8.593,8.706,0.113,169.260,55.545,
engl310_01_original,pau,8.706,8.743,0.037,169.260,47.278,
engl310_01_original,np,8.743,10.706,1.964,169.260,84.822,
engl310_01_original,pau,10.706,10.829,0.123,169.260,48.243,
engl310_01_original,in,10.829,11.033,0.204,169.260,55.174,
engl310_01_original,pau,11.033,11.078,0.045,169.260,46.028,
engl310_01_original,np,11.078,11.365,0.287,169.260,87.381,
engl310_01_original,pau,11.365,11.413,0.048,169.260,58.094,
engl310_01_original,in,11.413,11.609,0.195,169.260,55.631,
engl310_01_original,other: gl,11.609,11.717,0.108,169.260,55.357,
engl310_01_original,uh,11.717,11.974,0.257,169.260,85.581,
engl310_01_original,pau,11.974,12.004,0.030,169.260,55.538,
engl310_01_original,in,12.004,12.130,0.126,169.260,55.890,
engl310_01_original,pau,12.130,12.182,0.051,169.260,47.418,
engl310_01_original,np,12.182,13.355,1.174,169.260,83.123,
engl310_01_original,pau,13.355,13.535,0.180,169.260,47.848,
engl310_01_original,np,13.535,14.886,1.351,169.260,81.543,
engl310_01_original,pau,14.886,15.153,0.266,169.260,45.299,
engl310_01_original,np,15.153,15.803,0.651,169.260,84.717,
engl310_01_original,pau,15.803,15.864,0.061,169.260,54.362,
engl310_01_original,in,15.864,16.066,0.202,169.260,59.345,
engl310_01_original,pau,16.066,16.092,0.026,169.260,54.079,
engl310_01_original,np,16.092,17.942,1.850,169.260,82.693,
engl310_01_original,pau,17.942,18.013,0.071,169.260,44.742,
engl310_01_original,in,18.013,18.277,0.264,169.260,58.421,
engl310_01_original,pau,18.277,18.308,0.031,169.260,51.913,
engl310_01_original,np,18.308,21.049,2.741,169.260,82.166,
engl310_01_original,pau,21.049,21.059,0.010,169.260,55.108,
engl310_01_original,in,21.059,21.287,0.229,169.260,55.435,
engl310_01_original,pau,21.287,21.365,0.077,169.260,58.864,
engl310_01_original,np,21.365,22.617,1.253,169.260,85.018,
engl310_01_original,pau,22.617,22.643,0.026,169.260,55.597,
engl310_01_original,in,22.643,22.791,0.148,169.260,53.259,
engl310_01_original,pau,22.791,22.840,0.048,169.260,44.975,
engl310_01_original,np,22.840,25.952,3.113,169.260,81.354,
engl310_01_original,pau,25.952,26.036,0.083,169.260,49.810,
engl310_01_original,in,26.036,26.338,0.302,169.260,60.995,
engl310_01_original,cl,26.338,26.392,0.054,169.260,61.932,
engl310_01_original,uh,26.392,26.600,0.208,169.260,82.595,
engl310_01_original,pau,26.600,26.626,0.025,169.260,55.749,
engl310_01_original,in,26.626,26.740,0.114,169.260,55.109,
engl310_01_original,pau,26.740,26.794,0.054,169.260,46.673,
engl310_01_original,np,26.794,29.955,3.161,169.260,82.263,
engl310_01_original,pau,29.955,30.484,0.529,169.260,58.456,
engl310_01_original,cl,30.484,30.583,0.099,169.260,48.554,
engl310_01_original,in,30.583,31.035,0.452,169.260,59.044,
engl310_01_original,pau,31.035,31.099,0.065,169.260,48.003,
engl310_01_original,np,31.099,33.319,2.220,169.260,84.853,
engl310_01_original,pau,33.319,33.366,0.047,169.260,57.363,
engl310_01_original,in,33.366,33.558,0.193,169.260,54.560,
engl310_01_original,other: gl,33.558,33.637,0.079,169.260,60.833,
engl310_01_original,uh,33.637,33.839,0.202,169.260,85.140,
engl310_01_original,np,33.839,34.444,0.605,169.260,83.155,
engl310_01_original,in,34.444,34.616,0.172,169.260,52.266,
engl310_01_original,pau,34.616,34.706,0.090,169.260,45.250,
engl310_01_original,np,34.706,35.404,0.698,169.260,80.536,
engl310_01_original,pau,35.404,35.463,0.060,169.260,55.603,
engl310_01_original,in,35.463,35.669,0.205,169.260,50.836,
engl310_01_original,pau,35.669,35.700,0.031,169.260,51.384,
engl310_01_original,other: gl,35.700,35.770,0.070,169.260,61.313,
engl310_01_original,uh,35.770,36.020,0.250,169.260,79.514,
engl310_01_original,in,36.020,36.218,0.199,169.260,48.830,
engl310_01_original,pau,36.218,36.296,0.078,169.260,42.769,
engl310_01_original,np,36.296,37.010,0.713,169.260,81.026,
engl310_01_original,pau,37.010,37.411,0.401,169.260,48.372,
engl310_01_original,np,37.411,38.262,0.851,169.260,82.516,
engl310_01_original,pau,38.262,38.794,0.532,169.260,49.176,
engl310_01_original,cl,38.794,38.895,0.100,169.260,64.675,
engl310_01_original,in,38.895,39.046,0.151,169.260,62.902,
engl310_01_original,pau,39.046,39.071,0.025,169.260,51.044,
engl310_01_original,np,39.071,45.220,6.149,169.260,83.807,
engl310_01_original,pau,45.220,45.261,0.041,169.260,43.781,
engl310_01_original,in,45.261,45.514,0.253,169.260,46.969,
engl310_01_original,pau ,45.514,45.603,0.089,169.260,40.420,
engl310_01_original,np,45.603,46.638,1.035,169.260,82.275,
engl310_01_original,pau,46.638,46.722,0.083,169.260,42.363,
engl310_01_original,in,46.722,47.051,0.329,169.260,58.048,
engl310_01_original,pau ,47.051,47.094,0.043,169.260,53.811,
engl310_01_original,uh,47.094,47.285,0.191,169.260,79.997,
engl310_01_original,pau,47.285,47.317,0.032,169.260,48.785,
engl310_01_original,in,47.317,47.452,0.136,169.260,53.290,
engl310_01_original,pau,47.452,47.610,0.158,169.260,46.716,
engl310_01_original,np,47.610,50.667,3.057,169.260,83.406,
engl310_01_original,other: gl,50.667,50.725,0.058,169.260,63.363,
engl310_01_original,uh,50.725,50.914,0.189,169.260,82.690,
engl310_01_original,pau,50.914,50.959,0.045,169.260,57.876,
